Date,Close,Open,High,Low,Volume,Change
09-03-2021,15098.40,15049.90,15126.85,14925.45,675.27M,+0.95%
08-03-2021,14956.20,15002.45,15111.15,14919.90,580.31M,+0.12%
05-03-2021,14938.10,14977.95,15092.35,14862.10,640.70M,-0.95%
04-03-2021,15080.75,15026.75,15202.35,14980.20,534.85M,-1.08%
03-03-2021,15245.60,15064.40,15273.15,14995.80,544.21M,+2.19%
02-03-2021,14919.10,14865.30,14959.10,14760.80,621.72M,+1.07%
01-03-2021,14761.55,14702.50,14806.80,14638.55,507.30M,+1.60%
26-02-2021,14529.15,14888.60,14919.45,14467.75,1.10B,-3.76%
25-02-2021,15097.35,15079.85,15176.50,15065.35,803.88M,+0.77%
24-02-2021,14982.00,14729.15,15008.80,14723.05,403.75M,+1.86%
23-02-2021,14707.80,14782.25,14854.50,14651.85,744.09M,+0.22%
22-02-2021,14675.70,14999.05,15010.10,14635.05,609.90M,-2.04%
19-02-2021,14981.75,15074.80,15144.05,14898.20,712.21M,-0.91%
18-02-2021,15118.95,15238.70,15250.75,15078.05,770.63M,-0.59%
17-02-2021,15208.90,15279.90,15314.30,15170.75,504.77M,-0.68%
16-02-2021,15313.45,15371.45,15431.75,15242.20,648.55M,-0.01%
15-02-2021,15314.70,15270.30,15340.15,15243.40,455.96M,+1.00%
12-02-2021,15163.30,15186.20,15243.50,15081.00,571.81M,-0.07%
11-02-2021,15173.30,15073.25,15188.50,15065.40,500.12M,+0.44%
10-02-2021,15106.50,15119.05,15168.25,14977.20,624.79M,-0.02%
09-02-2021,15109.30,15164.15,15257.10,15064.30,713.28M,-0.04%
08-02-2021,15115.80,15064.30,15159.90,15041.05,671.24M,+1.28%
05-02-2021,14924.25,14952.60,15014.65,14864.75,935.63M,+0.19%
04-02-2021,14895.65,14789.05,14913.70,14714.75,884.69M,+0.71%
03-02-2021,14789.95,14754.90,14868.85,14574.15,869.48M,+0.97%
02-02-2021,14647.85,14481.10,14731.70,14469.15,914.97M,+2.57%
